row_num,intent_code,name,category,description,examples
6,AG_MENU,生活服务,生活服务,日常生活相关的非金融服务入口。,生活服务：掌银本地生活：附近优惠
7,AG_PAYMENT,缴纳各种日常生活中的费用,缴费支付,生活缴费、账单支付等相关服务。,交电费：缴纳水费：缴燃气费：交物业费：生活缴费：缴话费
8,AG_MENU,办理各种付款业务,付款业务,各类支付付款功能办理。,办理付款业务：扫码支付：POS支付：快捷支付设置
9,AG_MENU,办理存款业务,存款服务,各类存款产品办理。,存定期：办理大额存单：存通知存款：查看存款利率
10,AG_MENU,政务服务,政务服务,政府相关便民服务。,查公积金：社保查询：医保电子凭证：税务服务：政务大厅
11,AG_MENU,办理外汇业务,外汇业务,外汇买卖、结售汇、跨境汇款等服务。,结售汇：买外汇：卖美元：跨境汇款：外币兑换
12,AG_MENU,管理支付渠道,支付渠道管理,支付渠道设置、限额管理、快捷支付管理。,管理支付渠道：设置支付限额：绑定快捷支付：解绑银行卡
13,AG_MENU,购买投资理财类产品,投资理财,各类理财产品购买服务。,买理财产品：投资专区：理财超市：购买债券
14,AG_MENU,办理券商第三方存管开户,第三方存管,银证转账、第三方存管开户等服务。,开通第三方存管：银证转账：证券账户绑定：券商开户
15,AG_MENU,办理信用卡业务,信用卡服务,信用卡全生命周期服务。,申请信用卡：信用卡还款：信用卡分期：查信用卡账单：提额申请：积分兑换
16,AG_MENU,查询消息待办,消息中心,掌银消息、通知、待办查询。,查看消息：待办事项：动账通知：我的消息
17,AG_MENU,办理客户服务业务,客户服务,客户信息管理、客户等级维护。,客户信息维护：修改手机号：更新身份证信息：客户升级
18,AG_MENU,查询账户信息,账户查询,账户详细信息、交易流水查询。,查账户信息：交易明细：开户行查询：账户详情
19,AG_MENU,查看资产视图,资产视图,资产负债总览、资产配置分析。,查看资产：我的资产：总资产多少：资产负债
20,AG_TRANS,立即发起一笔转账交易,转账服务,实时转账交易执行。,发起转账：我要转账：转5000元给朋友：立即转账
21,AG_MENU,查询转账相关功能,转账查询,转账记录查询、常用收款人管理。,查转账记录：转账限额多少：常用收款人：撤销转账
22,AG_MENU,管理APP设置,APP设置,掌银APP个性化设置管理。,APP设置：修改主题：消息推送设置：清理缓存：切换版本
23,AG_MENU,管理安全设置,安全设置,账户安全、认证方式管理。,修改密码：设置指纹登录：面容识别：设备管理：安全中心
24,AG_MENU,网点服务,网点服务,物理网点查询、预约、导航。,附近网点：排队取号：预约网点：找银行
25,AG_MENU,查询存贷款利率,利率查询,存贷款基准利率、LPR利率查询。,存款利率：贷款利率：LPR利率：利率表
26,AG_MENU,办理助农金融业务,助农金融,三农金融服务、乡村振兴相关服务。,惠农e贷：助农取款：乡村振兴卡：三农服务
27,AG_MENU,预约纪念币兑换,纪念币预约,纪念币预约兑换服务。,预约纪念币：兑换纪念钞：纪念币查询：预约记录
28,AG_ZIXUN,搜索金融市场新闻资讯,金融资讯,金融市场新闻、行情分析、财经资讯服务。,财经新闻：股市行情：金融资讯：市场分析：理财资讯
29,AG_MENU,查找优惠活动与权益,优惠活动,掌银优惠活动、权益领取入口。,优惠活动：省钱月卡：小豆乐园：消费返现：本月活动
30,AG_MENU,查找掌银功能入口,功能导航,掌银功能入口查找、智能导航。,我要找转账：优惠券在哪：生活缴费在哪
31,AG_MARKET,为用户提供营销活动权益领取使用相关服务,营销服务,营销活动、权益领取使用相关服务。,领取权益：省钱月卡：参加活动：小豆兑换：领优惠券
32,AG_PRODUCT,用户购买商品,商品购买,掌银商城商品购买服务。,我要买东西：商城购物：购买特产：下单
33,AG_PRODUCT,用户查询商品特产,商品查询,掌银商城商品查询、特产查找。,查商品：有什么特产：搜索商品：商城搜索
34,AG_FUND,基金产品推荐与购买,基金服务,基金产品推荐、购买、定投及查询服务。,买基金：基金推荐：基金定投：查看基金收益：基金筛选
35,AG_DIALOG,问候与闲聊,对话服务,闲聊、问候、非业务对话。,你好：在吗：谢谢你：再见：今天天气怎么样
36,AG_DIALOG,询问掌上银行服务范围,对话服务,掌银功能介绍、服务范围说明、使用指导。,掌银能做什么：智能助手有什么用：掌上银行有哪些功能：农行生活是什么：怎么使用
37,AG_CLIENTSERVICE,办理业务限制异常寻求帮助,在线客服,业务办理异常、限制解除、人工客服。,办不了业务：被限制了：系统报错：不能转账：功能用不了
38,AG_CLIENTSERVICE,使用掌银技术问题,技术支持,掌银技术故障、系统问题人工支持。,页面打不开：APP闪退：系统卡了：登录不了：白屏
39,AG_CLIENTSERVICE,金融业务安全问题咨询,安全客服,"账户安全、风险可疑、诈骗咨询。","怀疑诈骗：账户异常：安全问题：被盗刷了：不明扣款：风险提醒"
40,AG_ASK,意图澄清,意图澄清,多意图识别、意图不明确时的澄清处理。,我要办理业务：帮我查一下：我要买东西：查询
